song_id,artist_name,title,timbre_mean,timbre_max,timbre_min,timbre_std,pitch_mean,pitch_max,pitch_min,pitch_std
SOTEDAD12A8AE4735F,Orbital,Forever,"[39.321571350097656, 6.516843795776367, 23.70857810974121, 10.636436462402344, 1.1485719680786133, -17.32452964782715, 12.015961647033691, 6.970745086669922, 2.7694501876831055, 6.798347473144531, 5.452518939971924, 11.377992630004883]","[48.8380012512207, 191.81300354003906, 189.50799560546875, 142.04400634765625, 105.98799896240234, 105.6719970703125, 112.28199768066406, 134.85499572753906, 131.46800231933594, 93.37000274658203, 73.63999938964844, 92.86499786376953]","[0.0, -248.25999450683594, -173.73800659179688, -86.36900329589844, -87.8550033569336, -101.94400024414062, -103.11199951171875, -74.6709976196289, -72.98799896240234, -57.472999572753906, -59.10599899291992, -76.75299835205078]","[5.511349678039551, 69.01740264892578, 55.50214767456055, 32.182010650634766, 25.470155715942383, 26.33698081970215, 29.416635513305664, 19.296659469604492, 22.77008628845215, 19.401931762695312, 14.8505220413208, 25.389171600341797]","[0.4100988507270813, 0.36455661058425903, 0.4681166112422943, 0.24636468291282654, 0.35146400332450867, 0.34664443135261536, 0.3190287947654724, 0.4943670928478241, 0.37350431084632874, 0.6199980974197388, 0.27316123247146606, 0.20010028779506683]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0020000000949949026, 0.004000000189989805, 0.003000000026077032, 0.003000000026077032, 0.007000000216066837, 0.004000000189989805, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.024000000208616257, 0.009999999776482582, 0.0010000000474974513]","[0.2942040264606476, 0.3058539032936096, 0.33243927359580994, 0.2369498610496521, 0.28639480471611023, 0.2819458246231079, 0.2744968831539154, 0.3320894241333008, 0.33098483085632324, 0.3434295654296875, 0.26544106006622314, 0.23637628555297852]"
SOUWZWV12AB0181ACF,Kris_Gruen,Prayer Walk,"[43.89027786254883, -89.25192260742188, -22.637128829956055, -22.975597381591797, -23.777141571044922, -14.04355525970459, -14.108287811279297, -12.219805717468262, 7.118277549743652, -5.667285919189453, 4.060265064239502, 14.968141555786133]","[50.505001068115234, 171.1300048828125, 139.677001953125, 334.2879943847656, 73.98400115966797, 117.8949966430664, 42.617000579833984, 151.99400329589844, 59.641998291015625, 83.30699920654297, 59.8650016784668, 72.0]","[0.0, -248.41600036621094, -136.031005859375, -137.85000610351562, -111.68599700927734, -209.5989990234375, -90.96800231933594, -81.2239990234375, -49.7130012512207, -91.43499755859375, -95.43199920654297, -92.68699645996094]","[4.519013404846191, 49.744537353515625, 33.571102142333984, 33.396278381347656, 30.70215606689453, 23.61690330505371, 23.876317977905273, 22.826026916503906, 17.3169002532959, 17.42367935180664, 14.414446830749512, 18.152456283569336]","[0.37328600883483887, 0.11693736910820007, 0.34901461005210876, 0.34528809785842896, 0.145858034491539, 0.2564049959182739, 0.12139666080474854, 0.3555866479873657, 0.10504592955112457, 0.2702693045139313, 0.29261377453804016, 0.2315073013305664]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9760000109672546, 1.0, 1.0, 1.0]","[0.003000000026077032, 0.006000000052154064, 0.004999999888241291, 0.003000000026077032, 0.007000000216066837, 0.004999999888241291, 0.004000000189989805, 0.007000000216066837, 0.006000000052154064, 0.007000000216066837, 0.014000000432133675, 0.006000000052154064]","[0.32932665944099426, 0.1648450493812561, 0.33159559965133667, 0.38314202427864075, 0.19475920498371124, 0.3127203583717346, 0.1324061155319214, 0.34252578020095825, 0.11360776424407959, 0.3069782555103302, 0.31613627076148987, 0.31320860981941223]"
SOFAJOM12A8C141EE4,4_Skins,New War,"[46.81022644042969, 41.30602264404297, 40.84328842163086, -3.4699106216430664, 1.4934152364730835, -15.112153053283691, -7.938531875610352, -0.6474307775497437, 0.1355924904346466, -6.344327449798584, 0.19135574996471405, -5.984313011169434]","[52.86899948120117, 171.1300048828125, 127.59100341796875, 45.8380012512207, 70.95899963378906, 129.37899780273438, 27.98699951171875, 67.90399932861328, 38.28799819946289, 75.73500061035156, 56.3849983215332, 56.790000915527344]","[0.0, -131.0800018310547, -65.46399688720703, -65.6760025024414, -93.56099700927734, -63.981998443603516, -58.10200119018555, -70.27200317382812, -37.499000549316406, -72.95600128173828, -26.656999588012695, -35.917999267578125]","[5.712697505950928, 39.41415786743164, 35.39901351928711, 17.441783905029297, 21.887815475463867, 15.147406578063965, 12.880155563354492, 13.30098819732666, 12.096301078796387, 12.087529182434082, 8.880887031555176, 11.63173770904541]","[0.49168434739112854, 0.42567530274391174, 0.5744812488555908, 0.46158474683761597, 0.5579133033752441, 0.44376713037490845, 0.40695860981941223, 0.3735174536705017, 0.32369598746299744, 0.3698331117630005, 0.318545937538147, 0.4880349338054657]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.008999999612569809, 0.01600000075995922, 0.026000000536441803, 0.027000000700354576, 0.02199999988079071, 0.008999999612569809, 0.014000000432133675, 0.017000000923871994, 0.009999999776482582, 0.012000000104308128, 0.00800000037997961, 0.00800000037997961]","[0.3070257902145386, 0.21079273521900177, 0.30251172184944153, 0.2355344593524933, 0.3117821514606476, 0.3031297028064728, 0.2273467481136322, 0.25663071870803833, 0.19446657598018646, 0.22494667768478394, 0.21686705946922302, 0.291794091463089]"
SOCCBOH12A8C13E947,Rockit,Some Kind of Record,"[46.884056091308594, 31.062284469604492, 12.591343879699707, 4.440421104431152, -24.193872451782227, -17.15147590637207, 1.5940630435943604, -0.14998066425323486, 4.386416912078857, 3.472877025604248, 0.40625229477882385, -9.535078048706055]","[54.18000030517578, 129.39599609375, 105.9489974975586, 403.62298583984375, 58.63399887084961, 121.90399932861328, 79.38300323486328, 82.98600006103516, 59.183998107910156, 90.4209976196289, 74.9540023803711, 40.154998779296875]","[25.819000244140625, -100.15299987792969, -126.56099700927734, -105.8479995727539, -135.01600646972656, -220.89100646972656, -66.55899810791016, -67.58699798583984, -75.60900115966797, -74.36900329589844, -46.29399871826172, -55.04800033569336]","[5.046648979187012, 45.23195266723633, 30.73980140686035, 34.35929489135742, 31.300113677978516, 29.519683837890625, 20.41853904724121, 17.578943252563477, 17.082929611206055, 13.755870819091797, 14.236979484558105, 13.26624870300293]","[0.38033366203308105, 0.4429582953453064, 0.3209460973739624, 0.32677313685417175, 0.5802634954452515, 0.3429867625236511, 0.3460010290145874, 0.4496612548828125, 0.30845677852630615, 0.37428584694862366, 0.2808646857738495, 0.43238046765327454]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.014000000432133675, 0.02199999988079071, 0.01600000075995922, 0.01600000075995922, 0.020999999716877937, 0.02199999988079071, 0.02500000037252903, 0.03400000184774399, 0.029999999329447746, 0.014999999664723873, 0.014999999664723873, 0.017000000923871994]","[0.272826611995697, 0.32914257049560547, 0.26057514548301697, 0.21983574330806732, 0.3519987463951111, 0.24459752440452576, 0.22776266932487488, 0.3060520887374878, 0.20539763569831848, 0.31893017888069153, 0.21329057216644287, 0.31681713461875916]"
SOBBWJS12AB0182522,Betika__Daouda,C'est pas ma faute,"[44.009483337402344, -0.6849293112754822, -35.77042007446289, -14.735755920410156, 6.277466297149658, -14.848255157470703, -26.5237979888916, -4.30309534072876, -16.662633895874023, -0.21954964101314545, 4.328041076660156, 6.999371528625488]","[52.16699981689453, 171.1300048828125, 72.2509994506836, 358.989013671875, 117.21700286865234, 123.23200225830078, 62.874000549316406, 117.25900268554688, 54.20000076293945, 65.08300018310547, 70.6449966430664, 83.05699920654297]","[0.0, -176.91400146484375, -147.17300415039062, -149.2519989013672, -86.48400115966797, -92.06199645996094, -111.38200378417969, -86.53900146484375, -79.77100372314453, -67.68900299072266, -63.07099914550781, -58.65299987792969]","[4.067944049835205, 40.6352424621582, 32.47237777709961, 40.18537902832031, 31.28443145751953, 29.280908584594727, 25.025348663330078, 23.98246192932129, 19.551389694213867, 15.617326736450195, 18.976736068725586, 18.85959815979004]","[0.4460333585739136, 0.2811882495880127, 0.3296743333339691, 0.239544078707695, 0.20299524068832397, 0.4437132775783539, 0.20252978801727295, 0.3909221589565277, 0.20844559371471405, 0.3588562309741974, 0.38815489411354065, 0.21603573858737946]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.004999999888241291, 0.004999999888241291, 0.003000000026077032, 0.003000000026077032, 0.003000000026077032, 0.004000000189989805, 0.004000000189989805, 0.0020000000949949026, 0.004000000189989805, 0.004999999888241291, 0.004999999888241291, 0.006000000052154064]","[0.3296523690223694, 0.2335798293352127, 0.2892700433731079, 0.27708104252815247, 0.1948096752166748, 0.36366885900497437, 0.1787804812192917, 0.3519589304924011, 0.19952496886253357, 0.3063006103038788, 0.33185014128685, 0.22124239802360535]"
SOWYWXM12AB018C9E9,John_Holt,Only Just Begun,"[41.549739837646484, 5.218642711639404, -37.518672943115234, 2.2558517456054688, 0.29967591166496277, 1.7168796062469482, -11.650534629821777, -6.975662708282471, 0.6264047622680664, 4.759579181671143, -0.9550092816352844, 1.655490756034851]","[51.159000396728516, 203.10899353027344, 109.56999969482422, 196.60699462890625, 100.27100372314453, 130.08200073242188, 64.25499725341797, 148.552001953125, 77.95999908447266, 89.35800170898438, 66.73699951171875, 51.01100158691406]","[0.6349999904632568, -131.44200134277344, -212.8820037841797, -169.36399841308594, -93.99500274658203, -83.02300262451172, -122.64399719238281, -112.00599670410156, -53.13199996948242, -73.42900085449219, -86.81900024414062, -37.805999755859375]","[5.546107769012451, 43.966182708740234, 46.87353515625, 46.494686126708984, 31.572050094604492, 34.99569320678711, 23.95895004272461, 25.74858856201172, 18.745820999145508, 19.55745506286621, 18.77231788635254, 13.395367622375488]","[0.46321824193000793, 0.4731560945510864, 0.31568649411201477, 0.26194047927856445, 0.38514813780784607, 0.4284881055355072, 0.23091666400432587, 0.2960595190525055, 0.19347751140594482, 0.22621163725852966, 0.154644176363945, 0.21564947068691254]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.00800000037997961, 0.004000000189989805, 0.0010000000474974513, 0.0020000000949949026, 0.003000000026077032, 0.0010000000474974513, 0.0020000000949949026, 0.003000000026077032, 0.0010000000474974513, 0.0020000000949949026, 0.0010000000474974513, 0.0010000000474974513]","[0.3655712902545929, 0.3214033246040344, 0.317605584859848, 0.24666254222393036, 0.32973340153694153, 0.3738900125026703, 0.25481119751930237, 0.3152240514755249, 0.23194833099842072, 0.2554244101047516, 0.20482517778873444, 0.21387575566768646]"
SOGWIQR12A8C144C22,Mungo_Jerry,It's A Secret,"[44.10939025878906, 65.58573913574219, 1.8713842630386353, -10.729216575622559, 8.520004272460938, -9.358917236328125, -0.9436898827552795, 10.459990501403809, -3.5451436042785645, 17.668441772460938, -9.665916442871094, 6.553178310394287]","[49.832000732421875, 171.91099548339844, 87.16999816894531, 70.97899627685547, 80.66600036621094, 124.04499816894531, 62.10300064086914, 74.33100128173828, 68.22599792480469, 65.88800048828125, 87.74199676513672, 54.194000244140625]","[0.0, -23.48900032043457, -146.59100341796875, -239.66799926757812, -99.64800262451172, -72.15499877929688, -63.904998779296875, -62.44900131225586, -81.38500213623047, -23.753999710083008, -48.01499938964844, -43.83300018310547]","[5.849354267120361, 27.294727325439453, 33.024967193603516, 29.78066062927246, 27.910112380981445, 21.37962532043457, 22.012989044189453, 20.089754104614258, 20.507963180541992, 15.052213668823242, 12.519719123840332, 14.122212409973145]","[0.5092980265617371, 0.35342663526535034, 0.31820422410964966, 0.26113614439964294, 0.46027684211730957, 0.36142057180404663, 0.29618456959724426, 0.401859313249588, 0.3242511451244354, 0.470953106880188, 0.30285778641700745, 0.41042661666870117]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.023000000044703484, 0.023000000044703484, 0.007000000216066837, 0.010999999940395355, 0.006000000052154064, 0.006000000052154064, 0.012000000104308128, 0.010999999940395355, 0.004999999888241291, 0.008999999612569809, 0.017000000923871994, 0.029999999329447746]","[0.303584486246109, 0.2464875727891922, 0.2805442810058594, 0.20274676382541656, 0.3205697238445282, 0.3039766252040863, 0.2368844747543335, 0.3308592140674591, 0.2380685657262802, 0.35705116391181946, 0.21278028190135956, 0.3017382323741913]"
SOLYAED12AB01885EC,Bonita,Dead End Sign,"[44.92876434326172, -16.521617889404297, 13.679886817932129, 13.128090858459473, -18.832117080688477, -8.163078308105469, 3.3722879886627197, -2.9499423503875732, -5.6173200607299805, -4.787914752960205, 1.5432223081588745, -7.010929584503174]","[54.40999984741211, 171.1300048828125, 108.47599792480469, 276.5050048828125, 138.63999938964844, 166.052001953125, 92.64700317382812, 124.01100158691406, 60.82099914550781, 67.60399627685547, 50.974998474121094, 50.41699981689453]","[0.0, -167.11199951171875, -152.12399291992188, -103.36900329589844, -90.6760025024414, -167.56199645996094, -78.79199981689453, -69.29499816894531, -66.6709976196289, -76.61799621582031, -49.34400177001953, -58.5369987487793]","[8.84900951385498, 51.324954986572266, 39.73725891113281, 48.95215606689453, 35.93657302856445, 30.687515258789062, 22.868549346923828, 20.694303512573242, 17.10183334350586, 18.25414276123047, 14.781510353088379, 16.847436904907227]","[0.43719929456710815, 0.4892949163913727, 0.21764516830444336, 0.2559608221054077, 0.2523329555988312, 0.28905990719795227, 0.6367465257644653, 0.31813594698905945, 0.34910252690315247, 0.30364978313446045, 0.26866820454597473, 0.3552350103855133]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.006000000052154064, 0.0, 0.0, 0.0010000000474974513, 0.003000000026077032, 0.02199999988079071, 0.007000000216066837, 0.0, 0.0, 0.006000000052154064, 0.0]","[0.30032339692115784, 0.3465425670146942, 0.23839052021503448, 0.2523636817932129, 0.2544197142124176, 0.24053911864757538, 0.3397490084171295, 0.27111363410949707, 0.3102751672267914, 0.2803477644920349, 0.2694963216781616, 0.33932337164878845]"
SOICYHD12AB018A5B8,2020,I Never Did No Hitler,"[45.72822570800781, -2.4775068759918213, 17.451496124267578, 4.316097259521484, 3.1068265438079834, -7.549102306365967, 2.534435749053955, -2.3424293994903564, -0.5599275827407837, 0.6627116203308105, -2.430983781814575, -7.787641525268555]","[54.308998107910156, 171.1300048828125, 178.15899658203125, 185.88400268554688, 87.84500122070312, 256.5669860839844, 72.93499755859375, 93.74500274658203, 62.01300048828125, 85.35600280761719, 89.64399719238281, 51.702999114990234]","[0.0, -159.24000549316406, -137.8800048828125, -182.17599487304688, -76.9990005493164, -79.62300109863281, -65.05599975585938, -106.7959976196289, -65.73799896240234, -52.20500183105469, -79.51799774169922, -62.4640007019043]","[5.632330894470215, 43.5026969909668, 39.4012565612793, 36.354007720947266, 24.026151657104492, 32.665618896484375, 21.22393035888672, 21.71588706970215, 17.601396560668945, 17.368255615234375, 17.122295379638672, 14.224610328674316]","[0.6934831738471985, 0.4528876543045044, 0.4507228434085846, 0.26631960272789, 0.3220287263393402, 0.3786866366863251, 0.3576953709125519, 0.40928715467453003, 0.32125967741012573, 0.4017902612686157, 0.29923346638679504, 0.42138952016830444]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.03200000151991844, 0.03400000184774399, 0.007000000216066837, 0.00800000037997961, 0.013000000268220901, 0.004000000189989805, 0.012000000104308128, 0.017999999225139618, 0.006000000052154064, 0.003000000026077032, 0.004000000189989805, 0.017999999225139618]","[0.3038214147090912, 0.24453505873680115, 0.3063011169433594, 0.18649199604988098, 0.22442173957824707, 0.29404011368751526, 0.25062164664268494, 0.2732451856136322, 0.24996884167194366, 0.32432010769844055, 0.2745417654514313, 0.2597247362136841]"
SOKDPUY12AB0184594,Bryan_White,God Gave Me You (Single/LP Version),"[45.7172737121582, 26.540416717529297, -23.137176513671875, -11.953930854797363, 14.59294605255127, -14.782254219055176, 0.18191443383693695, -3.490025281906128, -7.746235370635986, -3.2490601539611816, -0.040747325867414474, 2.936997413635254]","[54.34000015258789, 308.0989990234375, 90.43099975585938, 372.1860046386719, 88.80699920654297, 130.24600219726562, 75.8239974975586, 77.31300354003906, 56.9109992980957, 84.31600189208984, 83.44300079345703, 70.66899871826172]","[13.234000205993652, -118.8550033569336, -144.7480010986328, -225.86399841308594, -67.01699829101562, -202.01499938964844, -71.5790023803711, -71.86499786376953, -62.027000427246094, -65.58999633789062, -69.45500183105469, -40.84700012207031]","[4.501255989074707, 37.385128021240234, 37.71354675292969, 42.83842849731445, 24.910154342651367, 29.97027015686035, 21.682220458984375, 19.878707885742188, 15.790473937988281, 17.348161697387695, 17.81615447998047, 15.72298812866211]","[0.3125253915786743, 0.4342620372772217, 0.20291176438331604, 0.3042486608028412, 0.1601390391588211, 0.26087701320648193, 0.31277137994766235, 0.30208155512809753, 0.4537232518196106, 0.24054144322872162, 0.2913355529308319, 0.14184893667697906]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0020000000949949026, 0.003000000026077032, 0.004000000189989805, 0.004000000189989805, 0.0020000000949949026, 0.003000000026077032, 0.0020000000949949026, 0.006000000052154064, 0.003000000026077032, 0.006000000052154064, 0.003000000026077032, 0.003000000026077032]","[0.32151558995246887, 0.36795616149902344, 0.2029699683189392, 0.3051048815250397, 0.1886453479528427, 0.25823119282722473, 0.34613409638404846, 0.2633533775806427, 0.35294318199157715, 0.24774344265460968, 0.31650203466415405, 0.16299091279506683]"
